Server,Servicename,Status
QUESTMGT1,,
CHICTRL1A,wuauserv,Stopped
QTWCTRL1,wuauserv,Stopped
AUTO,wuauserv,Stopped
DEVEKM1,wuauserv,Running
WARCL,wuauserv,Stopped
QTWDSRV1,wuauserv,Stopped
ODSOPTIMUSA,wuauserv,Stopped
SIDE,wuauserv,Stopped
QTWMSG1CL,wuauserv,Stopped
DEVBKP1,wuauserv,Stopped
ODSMEGAB,wuauserv,Stopped
CHIDSRV1B,wuauserv,Stopped
AUTOCL,wuauserv,Stopped
ODSOPTIMUS,wuauserv,Stopped
QTMMGMTDB1,wuauserv,Stopped
CHIDSRV1A,wuauserv,Stopped
MEGA,wuauserv,Stopped
DIS-VASCOID,wuauserv,Running
SIDEA,wuauserv,Stopped
AUTOA,wuauserv,Stopped
CHIMSG1CL,wuauserv,Stopped
OPTIMUSCL,wuauserv,Running
SIDECL,wuauserv,Stopped
QTWCTRL1CL,wuauserv,Stopped
DOCTORB,wuauserv,Stopped
DBMONITOR,wuauserv,Running
QTWSC1B,wuauserv,Stopped
JURASSICB,wuauserv,Stopped
QTWMSG1A,wuauserv,Stopped
QTWDSRV1B,wuauserv,Stopped
QTWDSRV1A,wuauserv,Stopped
JURASSICA,wuauserv,Stopped
SIDEB,wuauserv,Stopped
QTMBKP1,wuauserv,Stopped
QTWSC1CL,wuauserv,Stopped
CHIMSG1,wuauserv,Stopped
CHICTRL1B,wuauserv,Stopped
CHICTRL1,wuauserv,Stopped
DEVWARA,wuauserv,Stopped
QTMEKM1,wuauserv,Running
CHIDSRV1CL,wuauserv,Stopped
OPTIMUSB,wuauserv,Stopped
3PARREPORT,wuauserv,Running
DEVWAR,wuauserv,Stopped
ODSMEGAA,wuauserv,Stopped
ODSBUMBLEB,,
PASSWORD,wuauserv,Running
ODSOPTIMUSB,wuauserv,Stopped
MEGACL,wuauserv,Stopped
ODSSOUNDB,,
QTMMGMT1,wuauserv,Stopped
QTWMSG1,wuauserv,Stopped
WAR,wuauserv,Stopped
OPTIMUS,wuauserv,Running
WARB,wuauserv,Stopped
DEVWARCL,wuauserv,Stopped
DEVOPTIMUSCL,wuauserv,Running
DEVOPTIMUSB,wuauserv,Stopped
DOCTORCL,wuauserv,Stopped
DEVMEGAB,wuauserv,Stopped
ODSOPTIMUSCL,wuauserv,Stopped
DEVOPTIMUS,wuauserv,Running
MEGAA,wuauserv,Stopped
AUTOB,wuauserv,Stopped
DOCTOR,wuauserv,Stopped
ODSWARB,wuauserv,Stopped
QTWBKP1,wuauserv,Stopped
QTM-VASCOID,wuauserv,Running
CHIMSG1B,wuauserv,Stopped
ODSWARCL,wuauserv,Stopped
CHICTRL1CL,wuauserv,Stopped
DIS-VASCOIDVM,,
CHIMSG1A,wuauserv,Stopped
CHISC1B,wuauserv,Stopped
QTWCTRL1B,wuauserv,Stopped
QTWSC1,wuauserv,Stopped
NASSITE,wuauserv,Stopped
QTWMSG1B,wuauserv,Stopped
WARA,wuauserv,Stopped
ODSWAR,wuauserv,Stopped
DOCTORA,wuauserv,Stopped
DEVMEGACL,wuauserv,Stopped
QTWSC1A,wuauserv,Stopped
ODSMEGA,wuauserv,Stopped
QTWDSRV1CL,wuauserv,Stopped
JURASSICCL,wuauserv,Stopped
ODSWARA,wuauserv,Stopped
DEVMEGA,wuauserv,Stopped
CHIDSRV1,wuauserv,Stopped
CHISC1,wuauserv,Stopped
QTMMGMT2,wuauserv,Running
JURASSIC,wuauserv,Stopped
CHISC1A,wuauserv,Stopped
QTMBKP3,wuauserv,Running
QTWCTRL1A,wuauserv,Stopped
ODSMEGACL,wuauserv,Stopped
CHISC1CL,wuauserv,Stopped
BEARBKP1,wuauserv,Stopped
CHIMSG2,wuauserv,Stopped
QTWMSG2,wuauserv,Stopped
DEVCB1SQL1,wuauserv,Stopped
QTMSANHQ1,wuauserv,Stopped
DEVVCTR1,wuauserv,Stopped
LUIGIVCTR1,wuauserv,Stopped
DEVOBI,wuauserv,Stopped
DEVMACE,wuauserv,Stopped
DEVJEDI,wuauserv,Stopped
DEVCTRLDB1,wuauserv,Stopped
DEVCTRLDB2,wuauserv,Stopped
DEVMSGDB1,wuauserv,Stopped
DEVMSGDB2,wuauserv,Stopped
DEVSCDB1,wuauserv,Stopped
DEVSCDB2,wuauserv,Stopped
DEVMONITORDB1,wuauserv,Stopped
CHIVCTR1,wuauserv,Stopped
QTWVCTR1,wuauserv,Stopped
QTMVCTR1,wuauserv,Stopped
QTXVCTR1,wuauserv,Stopped
BOBAA,wuauserv,Running
BOBAB,wuauserv,Stopped
HANB,wuauserv,Stopped
OBIA,wuauserv,Stopped
OBIB,wuauserv,Stopped
HANA,wuauserv,Stopped
HANCL,wuauserv,Stopped
BOBACL,wuauserv,Running
OBICL,wuauserv,Stopped
HAN,wuauserv,Stopped
OBI,wuauserv,Stopped
BOBA,wuauserv,Running
OPTIMUSA,wuauserv,Running
MEGAB,wuauserv,Stopped
ODSHANA,wuauserv,Stopped
ODSBOBAA,wuauserv,Stopped
ODSHANB,wuauserv,Stopped
ODSBOBAB,wuauserv,Running
ODSBOBACL,wuauserv,Stopped
ODSHANCL,wuauserv,Stopped
ODSBOBA,wuauserv,Stopped
ODSHAN,wuauserv,Stopped
3PARREPORT2,wuauserv,Stopped
DEVBOBAA,wuauserv,Stopped
DEVHANB,wuauserv,Stopped
DEVBOBACL,wuauserv,Stopped
DEVHANCL,wuauserv,Stopped
DEVBOBA,wuauserv,Stopped
DEVHAN,wuauserv,Stopped
DEVHANA,wuauserv,Stopped
DEVBOBAB,wuauserv,Stopped
DRDOCTORA,wuauserv,Stopped
DRDOCTORB,wuauserv,Stopped
DRSIDEA,wuauserv,Stopped
DRBOBAB,wuauserv,Stopped
DRBOBAA,wuauserv,Stopped
DRHANA,wuauserv,Stopped
DRWARA,wuauserv,Stopped
DRWARB,wuauserv,Stopped
DROPTIMUSA,wuauserv,Running
DRHANB,wuauserv,Stopped
DROPTIMUSB,wuauserv,Stopped
DROBIA,wuauserv,Stopped
DRMEGAA,wuauserv,Running
DROBIB,wuauserv,Stopped
DRMEGAB,wuauserv,Stopped
DRAUTOA,wuauserv,Running
DRSIDEB,wuauserv,Running
DROPTIMUSCL,wuauserv,Running
DRMEGACL,wuauserv,Running
DRHANCL,wuauserv,Stopped
DRWARCL,wuauserv,Stopped
DRAUTOB,wuauserv,Stopped
DRMEGA,wuauserv,Running
DRHAN,wuauserv,Stopped
DRBOBACL,wuauserv,Stopped
DRWAR,wuauserv,Stopped
DROPTIMUS,wuauserv,Running
DRBOBA,wuauserv,Stopped
DRDOCTORCL,wuauserv,Stopped
DRDOCTOR,wuauserv,Stopped
DROBICL,wuauserv,Stopped
DROBI,wuauserv,Stopped
DRSIDECL,wuauserv,Stopped
DRSIDE,wuauserv,Stopped
DRAUTOCL,wuauserv,Running
DRAUTO,wuauserv,Running
DEVOPTIMUSA,wuauserv,Running
DEVMEGAA,wuauserv,Stopped
DEVWARB,wuauserv,Stopped
QUESTMGT01,wuauserv,Running
