"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"

"\\BEARIMG01","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","9/12/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARJDIO5","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\CBSRCHBAT03","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","4/26/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARJDIO4","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARASYNC6","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\QTMMAP3","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/12/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARASYNC8","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","4/28/2010","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\CBSOASRCHBAT01","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","9/20/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\QTMMAP4","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/12/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARASYNC2","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARJDIO15","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARSC1","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARJDIO14","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","5/17/2010","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\CBSOASRCHBAT02","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","crucks.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","9/21/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\REBELDPIBATCH2","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/12/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARJDIO11","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","4/28/2010","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\CBSRCHBAT7","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\CBASYNC217","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","2/27/2014","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARBOEXWS1","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","8/14/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\CBSOASRCHBAT20","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 9:59:59 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","7/31/2013","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARDOC7","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","4/28/2010","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARJDIO13","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 9:59:59 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","4/28/2010","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARSC6","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 9:59:59 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARWS2","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\BEARASYNC1","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\ORKINWEB2","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/12/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\CBSOASRCHBAT14","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","7/31/2013","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\CBASYNC211","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","akira","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","2/10/2015","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\REBELASYNC01","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\CBSOASRCHBAT13","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","7/31/2013","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

"\\QTMMAP11","\GrimReaper","5/19/2016 10:00:00 PM","Ready","Interactive/Background","5/18/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","10/25/2013","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"

